date,open,high,low,close,volume,average,barCount
2023-08-09 08:45:00-07:00,4488.25,4490.25,4478.25,4482.5,-1.0,-1.0,-1
2023-08-09 09:00:00-07:00,4482.5,4490.0,4481.0,4488.5,-1.0,-1.0,-1
2023-08-09 09:15:00-07:00,4488.5,4490.5,4483.75,4488.25,-1.0,-1.0,-1
2023-08-09 09:30:00-07:00,4488.25,4494.25,4488.0,4491.0,-1.0,-1.0,-1
2023-08-09 09:45:00-07:00,4491.0,4495.25,4489.5,4491.25,-1.0,-1.0,-1
2023-08-09 10:00:00-07:00,4491.25,4503.0,4489.25,4502.5,-1.0,-1.0,-1
2023-08-09 10:15:00-07:00,4502.5,4504.5,4501.25,4503.0,-1.0,-1.0,-1
2023-08-09 10:30:00-07:00,4503.0,4507.0,4502.75,4506.5,-1.0,-1.0,-1
2023-08-09 10:45:00-07:00,4506.5,4507.5,4502.5,4504.0,-1.0,-1.0,-1
2023-08-09 11:00:00-07:00,4504.0,4511.75,4502.5,4511.25,-1.0,-1.0,-1
2023-08-09 11:15:00-07:00,4511.25,4514.75,4510.75,4514.25,-1.0,-1.0,-1
2023-08-09 11:30:00-07:00,4514.25,4517.75,4513.0,4513.5,-1.0,-1.0,-1
2023-08-09 11:45:00-07:00,4513.5,4515.75,4510.5,4511.0,-1.0,-1.0,-1
2023-08-09 12:00:00-07:00,4511.0,4511.75,4503.25,4506.25,-1.0,-1.0,-1
2023-08-09 12:15:00-07:00,4506.25,4510.5,4504.0,4506.75,-1.0,-1.0,-1
2023-08-09 12:30:00-07:00,4506.75,4507.5,4499.25,4499.25,-1.0,-1.0,-1
2023-08-09 12:45:00-07:00,4499.25,4499.5,4483.0,4486.25,-1.0,-1.0,-1
2023-08-09 13:00:00-07:00,4486.25,4493.5,4486.25,4492.25,-1.0,-1.0,-1
2023-08-09 13:15:00-07:00,4492.25,4493.25,4491.25,4493.0,-1.0,-1.0,-1
2023-08-09 13:30:00-07:00,4493.0,4493.0,4491.5,4491.75,-1.0,-1.0,-1
2023-08-09 13:45:00-07:00,4491.75,4493.25,4491.5,4493.25,-1.0,-1.0,-1
